21,5131,Blob触发器所属的调度器名称,"调度器,名称,SCHED_NAME","调度实例名,计划任务调度器",Blob触发器属于哪个调度器？,任务调度,0.9500,AI,2026-08-12 09:26:47.6811191,"表: QRTZ_BLOB_TRIGGERS   字段: SCHED_NAME   字段说明:    业务含义: Blob触发器所属的调度器名称   关键词: 调度器,名称,SCHED_NAME   同义词: 调度实例名,计划任务调度器   示例问题: Blob触发器属于哪个调度器？   业务领域: 任务调度 ",6ef28d85-c7b4-48df-80a3-bd169fe0440d,NULL,NULL
22,5132,Blob触发器所属的触发器组名称,"触发器,组,TRIGGER_GROUP",触发器分组,Blob触发器属于哪个组？,任务调度,0.9500,AI,2026-08-12 09:26:47.7913130,"表: QRTZ_BLOB_TRIGGERS   字段: TRIGGER_GROUP   字段说明:    业务含义: Blob触发器所属的触发器组名称   关键词: 触发器,组,TRIGGER_GROUP   同义词: 触发器分组   示例问题: Blob触发器属于哪个组？   业务领域: 任务调度 ",90eeb04b-ca46-4810-96ad-9e5d2fad0163,NULL,NULL
23,5133,Blob触发器的名称,"触发器,名称,TRIGGER_NAME",触发器名,Blob触发器的名称是什么？,任务调度,0.9500,AI,2026-08-12 09:26:47.7935265,"表: QRTZ_BLOB_TRIGGERS   字段: TRIGGER_NAME   字段说明:    业务含义: Blob触发器的名称   关键词: 触发器,名称,TRIGGER_NAME   同义词: 触发器名   示例问题: Blob触发器的名称是什么？   业务领域: 任务调度 ",6064fecf-67c7-4e25-99de-52e274c963cc,NULL,NULL
24,5134,Blob触发器存储的二进制序列化数据,"二进制,数据,BLOB_DATA","Blob数据,序列化数据",Blob触发器存储了什么数据？,任务调度,0.9500,AI,2026-08-12 09:26:47.7937623,"表: QRTZ_BLOB_TRIGGERS   字段: BLOB_DATA   字段说明:    业务含义: Blob触发器存储的二进制序列化数据   关键词: 二进制,数据,BLOB_DATA   同义词: Blob数据,序列化数据   示例问题: Blob触发器存储了什么数据？   业务领域: 任务调度 ",3fa9def3-ed2d-4eb4-a7c5-5084e369197d,NULL,NULL
25,5135,Quartz日历的名称,"日历,名称,CALENDAR_NAME",日历名,系统中有哪些日历？,任务调度,0.9500,AI,2026-08-12 09:26:47.7939355,"表: QRTZ_CALENDARS   字段: CALENDAR_NAME   字段说明:    业务含义: Quartz日历的名称   关键词: 日历,名称,CALENDAR_NAME   同义词: 日历名   示例问题: 系统中有哪些日历？   业务领域: 任务调度 ",0abd1df5-f53a-4721-aa49-9848432615ba,NULL,NULL
26,5136,日历所属的调度器名称,"调度器,名称,SCHED_NAME",调度实例名,日历属于哪个调度器？,任务调度,0.9500,AI,2026-08-12 09:26:47.7940958,"表: QRTZ_CALENDARS   字段: SCHED_NAME   字段说明:    业务含义: 日历所属的调度器名称   关键词: 调度器,名称,SCHED_NAME   同义词: 调度实例名   示例问题: 日历属于哪个调度器？   业务领域: 任务调度 ",d5d2f623-9043-45b1-b050-e14a3cd6b981,NULL,NULL
27,5137,日历的二进制序列化数据,"日历,二进制,CALENDAR",日历数据,日历的具体配置数据是什么？,任务调度,0.9500,AI,2026-08-12 09:26:47.7942634,"表: QRTZ_CALENDARS   字段: CALENDAR   字段说明:    业务含义: 日历的二进制序列化数据   关键词: 日历,二进制,CALENDAR   同义词: 日历数据   示例问题: 日历的具体配置数据是什么？   业务领域: 任务调度 ",ffb8eb6a-038b-4b92-954e-e6af8f959b98,NULL,NULL
28,5138,Cron触发器所属的调度器名称,"调度器,名称,SCHED_NAME",调度实例名,Cron触发器属于哪个调度器？,任务调度,0.9500,AI,2026-08-12 09:26:47.7944004,"表: QRTZ_CRON_TRIGGERS   字段: SCHED_NAME   字段说明:    业务含义: Cron触发器所属的调度器名称   关键词: 调度器,名称,SCHED_NAME   同义词: 调度实例名   示例问题: Cron触发器属于哪个调度器？   业务领域: 任务调度 ",f8ae53e7-4650-4fd5-88ec-2f3e916ca06a,NULL,NULL
29,5139,Cron触发器所属的触发器组名称,"触发器,组,TRIGGER_GROUP",触发器分组,Cron触发器属于哪个组？,任务调度,0.9500,AI,2026-08-12 09:26:47.7945620,"表: QRTZ_CRON_TRIGGERS   字段: TRIGGER_GROUP   字段说明:    业务含义: Cron触发器所属的触发器组名称   关键词: 触发器,组,TRIGGER_GROUP   同义词: 触发器分组   示例问题: Cron触发器属于哪个组？   业务领域: 任务调度 ",982ac553-8fdc-4083-9f06-7d0c5255e06b,NULL,NULL
30,5140,Cron触发器的名称,"触发器,名称,TRIGGER_NAME",触发器名,Cron触发器的名称是什么？,任务调度,0.9500,AI,2026-08-12 09:26:47.7947287,"表: QRTZ_CRON_TRIGGERS   字段: TRIGGER_NAME   字段说明:    业务含义: Cron触发器的名称   关键词: 触发器,名称,TRIGGER_NAME   同义词: 触发器名   示例问题: Cron触发器的名称是什么？   业务领域: 任务调度 ",d8471acc-5586-4a81-843a-21f81538a256,NULL,NULL
